index,X,Y,FID,Fuel_Type,Station_Na,Street_Add,Intersecti,City,State,ZIP,Plus4,Station_Ph,Status_Cod,Expected_D,Groups_Wit,Access_Day,Cards_Acce,BD_Blends,NG_Fill_Ty,NG_PSI,EV_Level1,EV_Level2,EV_DC_Fast,EV_Other_I,EV_Network,EV_Netwo_1,Geocode_St,Latitude,Longitude,Date_Last,ID,Updated_At,Owner_Type,Federal_Ag,Federal__1,Open_Date,Hydrogen_S,NG_Vehicle,LPG_Primar,E85_Blende
0,-87.55675999997395,33.16176799989334,3001,CNG,Alagasco Tuscaloosa Operations Center - Private,5220 Metro Park Dr, ,Tuscaloosa,AL,35405,0, ,E, ,Private access only, , , ,B,3600, , , , , , ,200-8,33.161768,-87.55676,2013-09-30T00:00:00.000Z,14,2013-10-16 20:23:04 UTC,T, , ,2011-07-01T00:00:00.000Z, ,MD, , 
1,-96.63371619974276,32.35140410001924,3002,LPG,Nelson-Putman Propane,2505 N Kaufman St,West of I-45,Ennis,TX,75119,0,972-875-5871,E, ,Public - see hours,8am-5pm M-F,Cash Checks D M V, , , , , , , , , ,200-8,32.351404,-96.633716,2013-02-28T00:00:00.000Z,20031,2013-03-20 02:12:06 UTC,P, , ,, , ,FALSE, 
2,-96.46547969992815,32.12216429974269,3003,LPG,Nelson-Putman Propane,2500 N Highway 45, ,Corsicana,TX,75110,0,903-874-5641,E, ,Public - see hours,"8am-5pm M-F, 8am-12pm Sat",Cash Checks D M V, , , , , , , , , ,200-8,32.122164,-96.46548,2013-02-28T00:00:00.000Z,20032,2013-03-20 02:12:06 UTC,P, , ,, , ,FALSE, 
3,-95.43393800013853,29.779156000049387,3004,CNG,Clean Energy - Texas Department of Transportation,7721A Washington Ave,"I-10, Washington Ave exit, 1.5 blocks to the station on the left",Houston,TX,77007,1037,562-493-2804,E, ,Public - credit card at all times,24 hours daily,M V Voyager CleanEnergy Wright_Exp, ,Q,3000, , , , , , ,200-8,29.779156,-95.433938,2013-07-31T00:00:00.000Z,72,2013-08-14 16:14:46 UTC,P, , ,1996-12-15T00:00:00.000Z, ,MD, , 
4,-96.725242000318,32.79346199997138,3005,LPG,U-Haul,7015 Ferguson Rd,At I-30,Dallas,TX,75228,0,214-388-0433,E, ,Public - see hours,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",Cash Checks A D M V, , , , , , , , , ,200-8,32.793462,-96.725242,2013-11-30T00:00:00.000Z,20039,2013-12-16 18:16:12 UTC,P, , ,, , ,TRUE, 
5,-94.929699999955,33.18151000018639,3006,LPG,Welchgas,2160 US 67 W, ,Mount Pleasant,TX,75455,0,903-577-1446,E, ,Public - see hours,8am-5pm M-F,Cash D M V, , , , , , , , , ,GPS,33.18151,-94.9297,2013-02-28T00:00:00.000Z,20045,2013-03-20 02:12:06 UTC,P, , ,, , ,FALSE, 
6,-95.56059299976708,33.627921000154046,3007,LPG,Cooper Propane Co,3015 S Church St,0.5 mile south of Loop 286,Paris,TX,75462,0,903-785-6461,E, ,Public - see hours,"7:30am-5pm M-F, 8am-12pm Sat (Sat hours in winter only)",Cash A D M V, , , , , , , , , ,200-8,33.627921,-95.560593,2013-02-28T00:00:00.000Z,20047,2013-03-20 02:12:06 UTC,P, , ,, , ,FALSE, 
7,-95.21829999974516,33.163740000001035,3008,LPG,The Propane Co,218 I-30 E,Exit 147 on south side,Mount Vernon,TX,75457,0,903-537-2248,E, ,Public - see hours,"8am-5pm M-F, 8am-12pm Sat (Sat hours in winter only)",Cash A D M V, , , , , , , , , ,GPS,33.16374,-95.2183,2013-02-28T00:00:00.000Z,20050,2013-03-20 02:12:06 UTC,P, , ,, , ,FALSE, 
8,-91.14253959962282,30.45072179987125,3009,CNG,Lavigne Oil Co - Florida,4637 Florida Blvd,"I-10, exit 158 N, College Drive, left on Foster Drive, left on Florida, 1 block on right. Unmanned station.",Baton Rouge,LA,70806,4024,800-349-0170,E, ,Public - credit card at all times,24 hours daily,M V FuelMan Wright_Exp, ,Q,3600, , , , , , ,200-8,30.450722,-91.14254,2013-05-31T00:00:00.000Z,295,2013-06-14 17:22:27 UTC,P, , ,1994-03-15T00:00:00.000Z, ,HD, , 
9,-94.81231599978352,32.580495399742965,3010,LPG,Martin LP Gas,5553 Highway 300,1 miles south of FM 1844,Longview,TX,75604,0,903-759-5250,E, ,Public - see hours,7am-12pm and 1pm-5pm M-F,Cash A D M V, , , , , , , , , ,200-8,32.580495,-94.812316,2013-02-28T00:00:00.000Z,20056,2013-03-20 02:12:06 UTC,P, , ,, , ,FALSE, 
